fid,DAUID,DGUID,LANDAREA,PRUID,lon,lat,area-DAs(s,flood-area,flood-prc,parks-area
46,"59150366",2021S051259150366,0.117300000000000,"59",-123.072524,49.255382,117286.873,0.000000000000000,0.000000000000000,
47,"59150367",2021S051259150367,0.101400000000000,"59",-123.069450,49.253209,101428.442,0.000000000000000,0.000000000000000,
48,"59150368",2021S051259150368,0.074100000000000,"59",-123.074272,49.252941,74101.803,0.000000000000000,0.000000000000000,1409.582000
49,"59150369",2021S051259150369,0.077500000000000,"59",-123.071822,49.250515,77504.694,0.000000000000000,0.000000000000000,
50,"59150371",2021S051259150371,0.071200000000000,"59",-123.077735,49.253250,71209.454,0.000000000000000,0.000000000000000,
51,"59150373",2021S051259150373,0.117200000000000,"59",-123.080690,49.249652,117227.852,0.000000000000000,0.000000000000000,10947.072000
52,"59150375",2021S051259150375,0.073800000000000,"59",-123.081638,49.246032,73801.116,0.000000000000000,0.000000000000000,
53,"59150376",2021S051259150376,0.067500000000000,"59",-123.084380,49.246239,67478.357,0.000000000000000,0.000000000000000,
54,"59150377",2021S051259150377,0.066900000000000,"59",-123.086278,49.243989,66880.244,0.000000000000000,0.000000000000000,
55,"59150378",2021S051259150378,0.057900000000000,"59",-123.089068,49.244046,57861.358,0.000000000000000,0.000000000000000,
56,"59150379",2021S051259150379,0.080000000000000,"59",-123.088187,49.241426,79974.937,0.000000000000000,0.000000000000000,
57,"59150380",2021S051259150380,0.056800000000000,"59",-123.088615,49.239295,56795.551,0.000000000000000,0.000000000000000,
58,"59150381",2021S051259150381,0.072700000000000,"59",-123.084621,49.239258,72685.486,0.000000000000000,0.000000000000000,
59,"59150382",2021S051259150382,0.066600000000000,"59",-123.088111,49.237408,66575.341,0.000000000000000,0.000000000000000,
60,"59150383",2021S051259150383,0.063400000000000,"59",-123.083568,49.237355,63371.090,0.000000000000000,0.000000000000000,
61,"59150384",2021S051259150384,0.058000000000000,"59",-123.088133,49.235817,58048.892,0.000000000000000,0.000000000000000,
62,"59150385",2021S051259150385,0.068800000000000,"59",-123.083126,49.235256,68768.716,0.000000000000000,0.000000000000000,
63,"59150386",2021S051259150386,0.111600000000000,"59",-123.087390,49.234112,111555.155,0.000000000000000,0.000000000000000,
64,"59150387",2021S051259150387,0.063700000000000,"59",-123.081838,49.233633,63652.107,0.000000000000000,0.000000000000000,
65,"59150388",2021S051259150388,0.278300000000000,"59",-123.086608,49.230590,281174.907,0.000000000000000,0.000000000000000,137855.938000
66,"59150389",2021S051259150389,0.102300000000000,"59",-123.080855,49.230711,102279.248,0.000000000000000,0.000000000000000,
67,"59150390",2021S051259150390,0.114800000000000,"59",-123.081919,49.227215,114792.323,0.000000000000000,0.000000000000000,
68,"59150391",2021S051259150391,0.067000000000000,"59",-123.077791,49.229172,67004.516,0.000000000000000,0.000000000000000,
69,"59150392",2021S051259150392,0.136800000000000,"59",-123.076944,49.226887,136774.486,0.000000000000000,0.000000000000000,
70,"59150393",2021S051259150393,0.083500000000000,"59",-123.073089,49.227105,83462.325,0.000000000000000,0.000000000000000,
71,"59150394",2021S051259150394,0.078900000000000,"59",-123.070165,49.226694,78923.097,0.000000000000000,0.000000000000000,
72,"59150395",2021S051259150395,0.079300000000000,"59",-123.067384,49.228921,79292.822,0.000000000000000,0.000000000000000,
73,"59150396",2021S051259150396,0.125800000000000,"59",-123.069572,49.230803,125797.984,0.000000000000000,0.000000000000000,20973.505000
74,"59150397",2021S051259150397,0.059600000000000,"59",-123.072697,49.230493,59630.164,0.000000000000000,0.000000000000000,
75,"59150398",2021S051259150398,0.064000000000000,"59",-123.074529,49.231105,64009.446,0.000000000000000,0.000000000000000,
76,"59150399",2021S051259150399,0.065400000000000,"59",-123.077751,49.231684,65396.195,0.000000000000000,0.000000000000000,
77,"59150400",2021S051259150400,0.095800000000000,"59",-123.077008,49.233722,95767.781,0.000000000000000,0.000000000000000,
78,"59150401",2021S051259150401,0.092600000000000,"59",-123.072836,49.234715,92648.035,0.000000000000000,0.000000000000000,
79,"59150402",2021S051259150402,0.170400000000000,"59",-123.076205,49.237259,170393.892,0.000000000000000,0.000000000000000,57683.014000
80,"59150403",2021S051259150403,0.094900000000000,"59",-123.072171,49.238218,94896.597,0.000000000000000,0.000000000000000,
81,"59150404",2021S051259150404,0.056400000000000,"59",-123.069926,49.238847,56436.574,0.000000000000000,0.000000000000000,
82,"59150405",2021S051259150405,0.065400000000000,"59",-123.066976,49.238811,65425.093,0.000000000000000,0.000000000000000,
83,"59150406",2021S051259150406,0.111800000000000,"59",-123.069013,49.241025,111779.403,0.000000000000000,0.000000000000000,
84,"59150407",2021S051259150407,0.097100000000000,"59",-123.070531,49.242710,97082.447,0.000000000000000,0.000000000000000,
85,"59150408",2021S051259150408,0.081900000000000,"59",-123.067955,49.244658,81861.670,0.000000000000000,0.000000000000000,
86,"59150409",2021S051259150409,0.059600000000000,"59",-123.070176,49.245445,59610.175,0.000000000000000,0.000000000000000,
87,"59150410",2021S051259150410,0.086800000000000,"59",-123.072484,49.245904,86838.042,0.000000000000000,0.000000000000000,
88,"59150412",2021S051259150412,0.059000000000000,"59",-123.078202,49.245521,59049.103,0.000000000000000,0.000000000000000,
