DGUID,Latitude,Longitude,SoVI,geometry,area
2021S051259150454,49.217,-123.063,53.98897515,-123.063  49.217,150906.6347
2021S051259150455,49.219,-123.067,52.0925822,-123.067  49.219,151447.204
2021S051259150457,49.216,-123.074,53.52555303,-123.074  49.216,138315.6594
2021S051259150459,49.213,-123.074,49.70497971,-123.074  49.213,100319.5373
2021S051259150460,49.214,-123.078,57.65064827,-123.078  49.214,63699.5052
2021S051259150461,49.216,-123.079,49.03129946,-123.079  49.216,43774.65229
2021S051259150462,49.216,-123.082,50.3274303,-123.082  49.216,42791.1981
2021S051259150463,49.217,-123.08,53.13083442,-123.08  49.217,95809.07705
2021S051259150465,49.221,-123.079,49.09251299,-123.079  49.221,67133.12249
2021S051259150466,49.222,-123.077,65.21612903,-123.077  49.222,59890.20613
2021S051259150468,49.221,-123.073,49.05175914,-123.073  49.221,84159.33527
2021S051259150469,49.224,-123.074,55.28819361,-123.074  49.224,82194.42558
2021S051259150470,49.224,-123.078,52.05862983,-123.078  49.224,63744.02026
2021S051259150471,49.223,-123.082,54.98913746,-123.082  49.223,74040.77119
2021S051259150472,49.224,-123.083,49.59858821,-123.083  49.224,58733.42891
2021S051259150473,49.227,-123.086,50.29000572,-123.086  49.227,83770.42486
2021S051259150474,49.224,-123.088,52.88463193,-123.088  49.224,84213.1997
2021S051259150475,49.227,-123.089,53.39555108,-123.089  49.227,82090.71529
2021S051259150476,49.227,-123.094,51.90692748,-123.094  49.227,153131.0836
2021S051259150477,49.225,-123.095,47.58129237,-123.095  49.225,78546.22686
2021S051259150478,49.223,-123.093,51.27974387,-123.093  49.223,98614.8955
2021S051259150479,49.222,-123.098,52.65036067,-123.098  49.222,164933.6866
2021S051259150480,49.22,-123.096,51.3413576,-123.096  49.22,64143.91217
2021S051259150481,49.219,-123.1,48.43212827,-123.1  49.219,56399.53077
2021S051259150482,49.217,-123.1,50.16815311,-123.1  49.217,89088.06021
2021S051259150483,49.218,-123.104,50.18784889,-123.104  49.218,59550.39731
2021S051259150484,49.215,-123.104,53.5019283,-123.104  49.215,90770.94285
2021S051259150485,49.216,-123.108,44.40176827,-123.108  49.216,137575.6303
2021S051259150486,49.216,-123.111,40.20810199,-123.111  49.216,59861.22776
2021S051259150487,49.216,-123.115,45.7852882,-123.115  49.216,166189.0565
2021S051259150488,49.212,-123.115,53.19233953,-123.115  49.212,69801.84532
2021S051259150489,49.212,-123.119,49.14643834,-123.119  49.212,120249.3749
2021S051259150490,49.211,-123.122,43.69244602,-123.122  49.211,93824.34847
2021S051259150491,49.209,-123.122,48.10042632,-123.122  49.209,29525.03635
2021S051259150492,49.21,-123.126,44.84305177,-123.126  49.21,71358.06957
2021S051259150493,49.208,-123.125,54.35441266,-123.125  49.208,35401.98015
2021S051259150494,49.207,-123.127,47.59230538,-123.127  49.207,26937.87106
2021S051259150495,49.204,-123.128,48.56097147,-123.128  49.204,641142.8882
2021S051259150496,49.208,-123.13,45.76724638,-123.13  49.208,34895.34668
2021S051259150497,49.206,-123.132,51.15705095,-123.132  49.206,31106.69036
2021S051259150498,49.208,-123.133,55.628796,-123.133  49.208,37588.40158
2021S051259150499,49.207,-123.135,49.15774096,-123.135  49.207,35302.45881
2021S051259150500,49.205,-123.135,51.35997799,-123.135  49.205,45588.09038
2021S051259150503,49.207,-123.141,54.80784545,-123.141  49.207,42604.55965
2021S051259150504,49.211,-123.145,42.5085193,-123.145  49.211,218239.125
2021S051259150505,49.212,-123.142,45.61371148,-123.142  49.212,105066.5905
2021S051259150506,49.215,-123.145,33.5586085,-123.145  49.215,86169.5949
2021S051259150507,49.217,-123.142,36.70370254,-123.142  49.217,147246.944
2021S051259150508,49.218,-123.146,35.38220262,-123.146  49.218,126562.3406
2021S051259150509,49.216,-123.149,25.55352619,-123.149  49.216,165331.0232
2021S051259150510,49.222,-123.148,26.13926029,-123.148  49.222,186384.2887
2021S051259150511,49.221,-123.143,40.42652409,-123.143  49.221,127670.3245
2021S051259150512,49.224,-123.143,23.5584629,-123.143  49.224,221127.7139
2021S051259150513,49.221,-123.138,36.01239979,-123.138  49.221,169181.7236
2021S051259150514,49.225,-123.136,41.48122777,-123.136  49.225,201569.7757
2021S051259150515,49.221,-123.132,28.2403934,-123.132  49.221,207282.9341
2021S051259150516,49.225,-123.129,34.47481156,-123.129  49.225,153799.6415
2021S051259150517,49.223,-123.125,35.42355811,-123.125  49.223,136369.0582
2021S051259150518,49.225,-123.124,38.77987319,-123.124  49.225,130446.4965
2021S051259150519,49.224,-123.119,43.21207493,-123.119  49.224,155980.1129
2021S051259150520,49.228,-123.119,50.04583929,-123.119  49.228,164337.6708
2021S051259150521,49.229,-123.114,34.1847217,-123.114  49.229,157640.8063
2021S051259150522,49.227,-123.11,39.15223718,-123.11  49.227,122037.7313
2021S051259150523,49.23,-123.107,36.01877076,-123.107  49.23,117046.5065
2021S051259150524,49.227,-123.106,47.10034534,-123.106  49.227,86642.57194
2021S051259150526,49.224,-123.104,50.09950566,-123.104  49.224,82071.18226
2021S051259150527,49.225,-123.1,54.45990552,-123.1  49.225,63717.25223
2021S051259150529,49.229,-123.097,47.656388,-123.097  49.229,96194.8503
2021S051259150530,49.23,-123.096,48.7021355,-123.096  49.23,49254.02134
2021S051259150531,49.231,-123.094,48.27528833,-123.094  49.231,173608.7399
2021S051259150534,49.234,-123.103,46.371839,-123.103  49.234,98411.17846
2021S051259150535,49.235,-123.099,48.21681055,-123.099  49.235,93067.22595
2021S051259150536,49.237,-123.1,52.45877915,-123.1  49.237,49927.93409
2021S051259150537,49.239,-123.099,45.03675767,-123.099  49.239,88006.09632
2021S051259150538,49.239,-123.103,42.94642118,-123.103  49.239,79666.16297
2021S051259150539,49.236,-123.105,37.67952019,-123.105  49.236,93783.05285
2021S051259150540,49.234,-123.109,42.15050658,-123.109  49.234,122368.969
2021S051259150541,49.232,-123.111,45.27332469,-123.111  49.232,237516.8433
2021S051259150542,49.235,-123.114,39.25386242,-123.114  49.235,97649.7076
2021S051259150543,49.237,-123.118,41.95909234,-123.118  49.237,233854.0819
2021S051259150544,49.232,-123.119,50.75222958,-123.119  49.232,199085.1248
2021S051259150545,49.238,-123.124,44.46984975,-123.124  49.238,457079.076
2021S051259150546,49.231,-123.126,44.17217311,-123.126  49.231,171403.6142
2021S051259150547,49.231,-123.123,43.57313237,-123.123  49.231,48094.59839
2021S051259150548,49.228,-123.125,39.20658296,-123.125  49.228,146373.0363
2021S051259150549,49.228,-123.132,33.84435156,-123.132  49.228,151012.4655
2021S051259150550,49.232,-123.131,42.34033143,-123.131  49.232,208151.769
2021S051259150551,49.231,-123.135,28.30649353,-123.135  49.231,162746.7065
2021S051259150552,49.231,-123.138,33.17180262,-123.138  49.231,164167.0838
2021S051259150553,49.231,-123.143,26.60150071,-123.143  49.231,336223.8521
2021S051259150554,49.229,-123.148,28.42217915,-123.148  49.229,239291.6822
2021S051259150555,49.233,-123.149,31.93685866,-123.149  49.233,173007.5221
2021S051259150556,49.233,-123.154,45.61487249,-123.154  49.233,122103.5636
2021S051259150557,49.229,-123.154,37.33910264,-123.154  49.229,106263.1683
2021S051259150558,49.231,-123.158,45.12153925,-123.158  49.231,67751.7362
2021S051259150559,49.228,-123.158,40.26866825,-123.158  49.228,89608.79849
2021S051259150560,49.229,-123.162,33.90330846,-123.162  49.229,149291.6062
2021S051259150561,49.225,-123.162,31.27464197,-123.162  49.225,274817.5894
2021S051259150562,49.231,-123.165,31.24844065,-123.165  49.231,181766.977
2021S051259150563,49.233,-123.161,49.48941489,-123.161  49.233,42552.88008
2021S051259150564,49.234,-123.164,43.16745519,-123.164  49.234,90251.49245
2021S051259150565,49.236,-123.164,39.37188563,-123.164  49.236,115387.8864
2021S051259150566,49.236,-123.16,44.49541357,-123.16  49.236,48035.88167
2021S051259150567,49.237,-123.161,44.43614496,-123.161  49.237,42794.60319
2021S051259150568,49.238,-123.158,44.31297522,-123.158  49.238,46584.77077
2021S051259150569,49.236,-123.157,44.27933436,-123.157  49.236,64948.15695
2021S051259150570,49.234,-123.158,43.90064084,-123.158  49.234,66584.21906
2021S051259150571,49.238,-123.152,27.39139051,-123.152  49.238,311730.9686
2021S051259150572,49.241,-123.153,30.56174191,-123.153  49.241,131897.4456
2021S051259150573,49.243,-123.152,45.95400412,-123.152  49.243,60147.77742
2021S051259150575,49.245,-123.151,35.02520908,-123.151  49.245,226844.1155
2021S051259150577,49.249,-123.155,43.12549474,-123.155  49.249,209908.9395
2021S051259150578,49.249,-123.162,27.31051627,-123.162  49.249,232110.0693
2021S051259150579,49.252,-123.158,36.52292183,-123.158  49.252,119648.7641
2021S051259150580,49.253,-123.162,31.8870067,-123.162  49.253,135538.3928
2021S051259150581,49.256,-123.163,33.1222598,-123.163  49.256,112170.6021
2021S051259150582,49.256,-123.157,38.7910106,-123.157  49.256,152746.6711
2021S051259150583,49.258,-123.156,28.89434641,-123.156  49.258,109624.8839
2021S051259150584,49.26,-123.158,44.03136514,-123.158  49.26,89246.19611
2021S051259150585,49.259,-123.162,33.40214259,-123.162  49.259,122589.2103
2021S051259150586,49.262,-123.161,39.92564895,-123.161  49.262,176601.0935
2021S051259150587,49.261,-123.166,39.16335356,-123.166  49.261,87376.80323
2021S051259150588,49.262,-123.168,36.49158554,-123.168  49.262,97689.77687
2021S051259150589,49.259,-123.168,35.43236424,-123.168  49.259,96962.79934
2021S051259150590,49.259,-123.172,34.17720126,-123.172  49.259,97191.49322
2021S051259150591,49.26,-123.176,39.09186372,-123.176  49.26,113799.956
2021S051259150592,49.263,-123.172,37.4418252,-123.172  49.263,98204.22101
2021S051259150593,49.263,-123.176,40.42083111,-123.176  49.263,83861.90296
2021S051259150594,49.265,-123.177,42.883804,-123.177  49.265,66787.60514
2021S051259150595,49.263,-123.18,42.83098488,-123.18  49.263,88240.49476
2021S051259150596,49.266,-123.18,34.32943408,-123.18  49.266,69050.49012
2021S051259150597,49.266,-123.184,38.84762984,-123.184  49.266,82691.47615
2021S051259150598,49.268,-123.183,37.42275727,-123.183  49.268,82308.40421
2021S051259150599,49.267,-123.187,44.30065319,-123.187  49.267,38704.01038
2021S051259150600,49.27,-123.187,41.40279996,-123.187  49.27,112675.8154
2021S051259150601,49.269,-123.183,39.86393581,-123.183  49.269,72452.41355
2021S051259150602,49.271,-123.184,34.17980214,-123.184  49.271,57462.03135
2021S051259150603,49.271,-123.18,34.2321697,-123.18  49.271,60822.53324
2021S051259150604,49.269,-123.178,34.46238625,-123.178  49.269,57815.2473
2021S051259150605,49.267,-123.178,37.13815467,-123.178  49.267,68097.35214
2021S051259150606,49.267,-123.174,39.07510128,-123.174  49.267,79037.19999
2021S051259150607,49.27,-123.173,42.07034644,-123.173  49.27,87099.8814
2021S051259150608,49.27,-123.169,40.70374424,-123.169  49.27,87678.2853
2021S051259150609,49.267,-123.17,38.61774293,-123.17  49.267,76797.44345
2021S051259150610,49.267,-123.166,44.70588709,-123.166  49.267,53197.02139
2021S051259150611,49.265,-123.166,35.17349489,-123.166  49.265,77031.20955
2021S051259150612,49.265,-123.172,40.60503914,-123.172  49.265,78409.6682
2021S051259150613,49.265,-123.163,36.59386931,-123.163  49.265,64234.02417
2021S051259150614,49.267,-123.162,38.6350713,-123.162  49.267,65633.30566
2021S051259150615,49.266,-123.16,40.16032655,-123.16  49.266,64089.6815
2021S051259150616,49.267,-123.158,42.03459206,-123.158  49.267,48897.5878
2021S051259150617,49.266,-123.156,40.38056699,-123.156  49.266,32004.20783
2021S051259150618,49.266,-123.154,44.36760973,-123.154  49.266,47755.96506
2021S051259150619,49.264,-123.156,42.50646533,-123.156  49.264,52976.42282
2021S051259150620,49.266,-123.152,49.87817097,-123.152  49.266,66531.34935
2021S051259150621,49.268,-123.154,43.1010835,-123.154  49.268,49761.19725
2021S051259150622,49.269,-123.154,36.787253,-123.154  49.269,34247.66142
