Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
11.1,37,23.8,6,18.8,10,69,66.7,19.4,2.2,2.2,0,7.8,0,30.8,15.4,93.3,14.3,96.4,4.2,20.3,5.1,96.1,100,19.4,29.5,3.9,11.9,4.2
17.4,8.7,29.7,24.5,51.8,34.1,83.3,79.6,13,0,0,0,3.2,0,26.1,21.7,97.6,9.3,89.1,5.9,11.0,16.1,94.4,94.4,30.4,14.1,3.5,18.5,0.0
0,21.1,12,0,21.7,4.8,72,46,24.4,0,0,0,6.9,2.3,24.4,0,91.0,18,93.7,2.5,29.7,3.4,100,86,19.5,26.4,3.7,18,0.0
5.1,12.7,49.1,6.8,47.1,22,96.2,77.4,24.3,0,0,0,16.4,9.6,43.2,2.7,98.4,23.6,84.2,7.6,22.9,33.9,96.7,97.3,27,11,2.9,4.7,0.0
12,16,20,4.6,33.7,10.5,45.5,65.5,27.8,0,0,0,7.4,4.2,36.8,2.1,93.8,33.3,97.0,5.1,26.3,10.2,98.4,85.5,19.4,20.9,4,7.3,0.0
20,16.7,9.1,4.4,30.4,7.8,80.3,51.5,25.6,0,0,0,8.9,0,27.6,1.6,94.5,19.7,95.6,7.6,36.4,10.2,100,100,33.3,21.3,3.6,16.7,0.0
23.8,28.6,0,7.1,39.6,18.6,67.3,65.5,17.6,0,0,0,1.7,0,15.7,35.7,94.8,21.8,97.6,8.5,24.6,10.2,98.5,94.5,41.2,18.6,3.9,23.6,0.0
0,25,16.3,6.3,25,10.7,37.2,53.5,21.6,0,0,0,7.1,4,15,4,88.4,23.3,81.2,3.4,26.3,6.8,100,83.8,13.5,11.1,5.1,7,0.0
0,16.3,14.9,3,30.1,8.5,90.7,66.4,18.4,0,0,0,4.9,0,31.5,4.4,95.9,29,95.0,11.9,48.3,17.8,98.4,92.4,34.2,21.5,3.1,14,0.0
10.5,21.1,8.6,0,24.7,5.6,39.1,45.7,16.7,0,0,0,4.6,0,20.6,0,87.8,17.4,85.8,5.1,33.1,4.2,100,63.1,26.2,26.9,5.6,10.9,4.2
7.7,15.4,19.7,5.6,25.5,7.5,75,62.5,41.7,0,0,0,13.3,21.4,48.5,10.1,95.3,23.6,97.6,8.5,26.3,11.0,95.7,92.8,47.2,19.4,3.5,12.5,4.2
0,12.8,20.2,3.4,31.9,12.8,94.2,68.1,21.2,0,0,0,4,11.9,39.7,2.4,95.3,27.5,84.2,6.8,37.3,12.7,100,94.1,42.3,15.2,3.5,11.6,4.2
4.5,13.6,10.6,5.2,30.5,12.4,53.2,40.4,17.9,0,0,0,14.4,16.9,40.7,0,91.8,21.3,82.0,5.1,27.1,10.2,100,78.8,35.7,25.2,4.9,17,0.0
6.5,6.5,17.7,9.8,38.6,14.5,38.2,41.2,5.1,0,0,0,30.8,14.3,58.2,0,90.7,11.8,89.1,4.2,26.3,6.8,100,73.6,33.3,13.2,5.1,5.9,0.0
13,8.7,7.3,3,19.5,9.8,34.1,36.6,19.5,0,0,0,7.2,9.3,38.1,2.1,87.7,22,86.6,2.5,28.0,5.9,100,65.8,24.4,15.6,5.4,7.3,4.2
12.9,12.9,29,0,34.6,9.1,47.4,36.8,21.4,0,0,0,22.6,4.3,45.7,4.3,86.9,16.2,87.5,5.1,17.8,7.6,100,73.6,21.4,22.8,5.3,13.2,0.0
16.7,12.5,21.2,3.8,37.7,5.8,54.5,48.5,38.9,0,0,0,13.3,2.4,38.6,0,90.4,21.2,87.3,2.5,20.3,8.5,100,81.8,16.7,15.7,4.9,12.1,0.0
9.3,5.6,12.9,6.6,28.6,13.7,64.1,41,26.8,0,0,0,16.4,3.3,37,1.1,91.7,24.4,83.9,8.5,46.6,16.9,99.2,56.4,25.4,28.7,4.6,7.7,0.0
12.7,11.4,13.6,4,26.8,7.1,67.4,56.8,29.1,0,2.3,0,12,3.1,41.5,0,92.8,34.1,89.1,10.2,75.4,16.1,100,33.3,27.3,31.1,3.8,3,0.0
0,16.7,21.4,9.8,42.1,14.7,50,28.6,22.5,0,0,0,32.9,11.8,70.6,0,91.2,20.7,85.0,3.4,17.8,9.3,100,78.6,30,20.2,5.5,10.7,0.0
0,27,18,6.6,50,14.6,51.3,33.3,20,0,0,0,27.6,7.6,61,0,92.0,23.1,86.5,5.1,24.6,7.6,100,76.9,31.1,18.3,5.1,0,0.0
