Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
6.5,9.7,45.8,14.1,47.4,15.7,79.7,52.5,14,0,0,0,44,29.6,89.6,0,95.7,50.8,85.2,11.0,26.3,16.1,95.4,44.1,37.2,12.1,3.6,0,0.0
4.8,6.3,35.2,11.9,41.7,15.7,54.4,59.6,26.4,0,0,0,25,19.8,63.2,1.7,95.8,22.4,89.1,6.8,28.8,19.5,100,77.2,37.7,11.2,4,10.5,0.0
6.1,22.4,16.4,7.2,46.4,14.4,45.5,41.8,34.6,0,0,0,46.7,10.9,88.5,0,89.8,23.6,81.2,8.5,40.7,18.6,97.2,50.9,30.9,13.4,5.2,0,0.0
3.8,17.9,34.1,0,51.2,10.5,22.7,27.3,31.1,0,0,0,37.9,14.3,85.1,0,91.3,22.7,82.5,3.4,30.5,24.6,100,77.4,26.7,10.1,7,9.1,0.0
0,6.4,44.1,8.3,51.7,17.2,44.1,55.9,25,0,0,0,47.9,0,81.7,0,93.1,35.3,79.9,2.5,14.4,16.1,95.7,73.4,15.6,17.4,5.6,0,4.2
8.3,20.8,27.6,13,58.8,21.2,37.9,37.9,29.7,0,0,0,52,11,87,0,89.8,16.7,74.7,1.7,20.3,13.6,100,48.2,16.2,10.1,6.4,0,0.0
3.3,20,10.6,13.6,57.3,22.1,47.4,44.7,10.4,0,0,0,46.7,13.1,91.5,0,91.8,36.8,78.6,3.4,28.0,15.3,98.4,65.9,20.8,6.6,5.6,0,0.0
8,12.6,37.5,12.9,51.3,20.7,41.7,50,23.3,0,0,0,49.6,9.9,93.1,0,93.0,27.7,82.5,4.2,22.9,20.3,93.7,64.7,16.3,13.8,6,0,0.0
4.9,9.8,29.5,8.9,49,19.6,42.6,41,15.5,0,0,0,52.3,8.5,90.9,0,92.3,26.2,82.5,7.6,34.7,24.6,97.7,62.3,15.5,16.5,5.7,3.3,0.0
6.6,6.6,24,12.8,49.2,21.3,40,46,29,0,0,0,42.3,12.1,85.8,1.4,91.9,14,81.2,5.9,32.2,16.1,97.7,46,22.6,8.8,5.7,8,0.0
3.6,18.2,35.1,3.6,43.4,13.1,62.2,45.9,19.6,0,0,0,22.4,32.9,89.4,2.4,93.1,27,78.6,3.4,25.4,7.6,96.8,59.4,27.5,10.5,4.9,10.8,0.0
4.1,20.3,14.7,18,56.1,20.6,52.9,41.2,31.9,0,0,0,16.2,19,93.3,0,92.6,29.4,83.1,5.1,22.9,14.4,95.2,61.7,21.3,20,5.5,8.8,0.0
0,16.2,38.9,8.3,56.5,17.8,33.3,27.8,0,0,0,0,21.6,0,98,0,93.0,27.8,82.0,0.0,9.3,6.8,100,44.4,27.3,7.8,6.2,0,0.0
0,14,18.5,12.2,55.2,28.4,55.6,48.1,10.5,0,0,0,4.7,23.5,82.6,0,91.6,33.3,81.2,3.4,17.8,5.9,100,62.9,15.8,25,5.3,7.4,0.0
5.3,5.3,25.7,11.1,48.3,17.8,54.3,45.7,22.2,0,0,0,30.2,16,90.6,0,92.3,20,83.9,5.9,23.7,9.3,100,68.6,27.8,10.4,5.3,0,8.3
0,10.5,22.6,11.4,45.6,17.6,35.5,51.6,14.3,0,0,0,24.1,26.5,88,0,91.8,22.6,83.9,1.7,16.9,5.1,100,74.3,31.4,18.3,6,6.5,0.0
0,5.7,29.1,24.6,56.1,30.1,32.3,35.5,16.2,0,0,0,36.6,18.3,94.6,0,92.4,16.1,85.0,11.9,17.8,9.3,89.5,58,37.8,11.8,5.6,0,0.0
4.2,15.3,17.9,11.8,50,18.5,41,46.2,28.3,0,0,0,42.6,10.1,90,0,86.1,20.5,78.6,10.2,22.0,15.3,94.9,53.8,9.4,15.7,6.4,5.1,0.0
5.4,17.6,20.5,17.1,51.4,19.8,43.2,43.2,14.9,0,0,0,41.8,9,90.2,0,92.8,15.9,83.9,8.5,17.8,12.7,95.7,77.3,31.9,13.9,5.9,4.5,0.0
6.9,17.2,12.9,13.3,41.5,16.9,51.6,45.2,20.5,0,0,0,43.3,14.4,96.2,0,91.6,6.3,85.2,5.9,21.2,7.6,100,64.6,34.1,11.7,4.9,0,0.0
3.1,6.3,31.8,8.2,51,21.6,52.3,47.7,25,0,0,0,26.1,12.2,80,0,93.3,25,83.9,6.8,24.6,16.1,92.2,70.5,33.3,11.3,5.5,0,0.0
7.8,17.6,23.6,6.3,46.1,18.6,35.3,38.2,26.8,0,0,0,31,22.4,83.8,0,90.8,21.2,83.9,1.7,25.4,14.4,100,61.7,24.4,16.7,6.8,5.9,0.0
6.3,12.7,20,10.1,50,22.6,44.4,44.4,21.4,0,0,0,36.6,6.1,77.3,1.5,91.3,20.5,81.2,3.4,25.4,14.4,97.1,68.9,17.9,15.3,5.5,6.7,0.0
8.2,8.2,33.4,6.5,56.3,17.5,43.8,54.2,23,0,0,0,15.6,4.3,80.1,0,92.7,20.4,82.5,6.8,28.0,17.8,100,73,41,16.4,5.5,0,0.0
3.4,13.6,33.2,5.8,40.7,11.1,47.8,55.1,23.2,0,0,0,19,11.1,80.4,0,95.1,24.6,89.1,5.9,26.3,24.6,98.7,85.5,23.2,18.4,4.2,2.9,0.0
6.1,14.6,19.7,7.8,37.2,14.8,57.6,47,20.2,0,0,0,10.2,19.2,68.2,2.3,93.2,21.2,81.2,5.1,34.7,16.1,98.1,59.1,42.9,23.6,5.1,6.1,0.0
3.3,11.7,21.6,3.1,33,11,51.4,43.2,20.9,0,0,0,25.2,9.2,82.5,2.5,89.9,27,81.2,5.9,22.9,17.8,95.2,75.6,30.2,5,5.5,0,0.0
4.8,12,20.1,9,51.4,18.4,45.5,41.8,21.4,0,0,0,17.6,15.2,86.1,0,92.4,23.6,78.6,5.9,35.6,13.6,100,58.2,26.2,12.3,5.8,5.5,0.0
8.9,8.9,19.4,15.8,45.5,22.4,64.5,48.4,13.6,0,0,0,11.7,35.1,85.5,0,93.6,16.1,83.9,0.0,16.9,6.8,100,74.2,22.7,9.2,5.2,0,4.2
4,20,24.3,6,52.3,15.9,59.5,40.5,20.8,0,0,0,17.3,22.4,86.7,0,91.9,24.3,83.9,5.1,25.4,8.5,100,64.8,39.6,15.5,5,8.1,0.0
14,3.5,42,0,57.3,12,38.7,48.4,25.7,0,0,0,31.4,12.8,93,0,93.8,35.5,85.0,2.5,15.3,8.5,97.8,67.8,48.6,9.3,5,0,0.0
7.4,16.8,26.4,3.9,44.7,12.4,35.8,49.1,26.3,0,0,0,23.5,18,87.5,0,89.5,25.9,85.2,5.1,40.7,23.7,98,69.8,27.6,6,6.4,5.7,0.0
5,13.3,31.4,9,50,16.7,40,31.4,23.4,0,8.9,0,35.7,8.9,90.2,0,90.0,8.6,78.6,3.4,26.3,11.9,98.4,54.2,29.8,13.5,5.3,5.7,0.0
5,13.8,24.4,12.2,49.3,19.4,44.9,32.7,22.9,0,0,0,33.6,13.8,88.7,0,92.1,26.5,79.9,3.4,33.1,16.9,97.8,55.1,31.4,13.9,5.8,0,0.0
4.9,13.1,39.6,0,39.8,10.8,27.9,44.2,19.4,0,0,0,70.5,8,93.8,0,91.5,14,78.6,3.4,19.5,16.9,98.1,81.3,25.8,7.2,6.4,0,0.0
9.1,18.2,48.6,0,35.3,7.4,5.4,56.8,11.8,0,0,0,32,0,60,0,92.3,24.3,93.0,1.7,14.4,11.0,100,102.7,11.8,18.9,5.1,21.6,0.0
3.6,16.9,22.1,0,44.9,6.7,44.1,50.8,20.9,0,0,0,50.6,0,84.5,0,93.7,45.8,83.9,5.1,28.0,21.2,98.7,30.5,23.3,20.3,4.8,0,12.5
8.6,16.7,16,2.6,28.4,7.6,62.4,64.4,18.8,0,0,0,55.3,4.3,86.1,0,95.1,52.4,93.0,20.3,110.2,43.2,98.1,10.4,37.6,37.8,3.1,3.2,0.0
6.9,27.5,11.2,5.3,30.1,7,66.3,57.1,28,0,0,0,42.6,7.4,79.9,0,96.0,42.9,91.7,7.6,48.3,20.3,98.5,30.6,39,34.7,3.7,0,0.0
9.9,23.9,30.3,3.2,32.3,4.3,27.9,44.2,25,0,0,0,54.2,5.9,78.6,0,90.7,20.9,81.2,7.6,22.9,11.0,91.5,62.8,15.6,3.4,5.9,9.3,0.0
0,12.9,13.2,5.4,27.8,11.1,89.5,57.9,17.5,0,0,0,14.7,10.7,55.3,2.6,95.4,23.7,84.2,5.9,18.6,7.6,98.2,97.3,42.5,15.8,3.3,13.2,0.0
8.5,15.5,18,4.2,39.6,9.8,46,54,15.9,0,0,0,48.4,13.5,81,0,92.8,28.6,83.9,4.2,26.3,16.9,100,74,20.5,12.1,5,4,0.0
0,16.1,7.4,12.7,41.6,14.3,98.1,68.5,13.9,2.5,2.5,0,11.4,8.9,48.1,2.5,97.6,32.1,84.2,9.3,17.8,7.6,98.3,98.2,55.6,16.3,3.1,13,0.0
8.8,8.8,13,6.8,33.8,9.2,85.2,77.8,26.5,0,0,0,17.4,14,46,0,96.7,35.8,99.3,3.4,22.0,5.9,100,92.6,41.2,12.9,3,11.1,0.0
5.9,13.7,15.5,4.8,36.3,6.9,74.6,69,14.8,0,0,0,14,14,48.6,0,96.0,33.3,98.3,7.6,25.4,4.2,96.3,62,35.2,10.4,3,2.8,4.2
4.8,9.5,11.5,3.7,32.7,7.1,95.1,72.1,23.6,0,0,0,18.9,9.4,63.2,0,96.1,26.2,84.2,6.8,30.5,8.5,97.3,101.6,38.2,24.8,2.9,11.5,0.0
9.2,15.4,24.3,3.8,29.1,10.3,97,59.1,22.1,0,0,0,5.5,32,61.4,3.1,95.9,33.3,84.2,6.8,28.8,9.3,98.9,96.9,35.3,11,3.1,7.6,0.0
4.2,16.7,16,7.8,37.8,15.3,82.7,66.7,16.4,0,0,0,17.2,13.9,52.1,0,96.5,22.7,98.6,9.3,33.9,15.3,97.6,96,44.3,17.5,2.9,14.7,0.0
7.8,10.9,19.5,3.6,30.3,10,97.4,70.1,16.4,0,0,0,11.5,17.2,56.6,2.5,97.0,33.8,84.2,10.2,30.5,8.5,94.1,98.7,30.9,15.1,3,3.9,0.0
6.6,11.5,13,7.3,38.1,10.4,97.6,63.5,22.5,0,0,0,6.7,16.8,50,2,95.1,36.9,84.2,11.0,36.4,12.7,95.3,88.2,33.8,19.6,3.2,2.4,0.0
6.3,7.8,30.6,3,32.4,13.1,67.7,67.7,25.7,0,0,0,16.9,10.5,56.8,2.4,95.6,27.4,97.0,15.3,25.4,12.7,94.1,91.9,37.1,11.3,3.7,9.7,0.0
6.1,15.3,18.5,4.3,30.8,9.5,43.7,58.3,20.5,0,0,0,53.4,0,76.7,0.9,93.4,45.6,78.6,5.9,46.6,28.8,97.5,35,15.1,24.5,5.1,3.9,0.0
9.1,16.7,27.4,4.8,30.5,14.3,25.5,60.8,24.4,0,0,0,42.6,4.9,77.2,1.6,91.1,27.5,82.5,6.8,23.7,17.8,95.4,72.6,19.5,13.9,5.5,5.9,0.0
10,22,43.4,0,39.7,2.9,13,34.8,11.1,0,0,0,59.5,0,85.1,0,86.3,21.7,65.8,2.5,14.4,8.5,97.5,69.5,0,8.1,7.9,0,0.0
6.7,18.3,31.6,3.6,32.3,10.4,18.4,39.5,26.9,0,0,0,61.7,0,78.3,0,85.7,34.2,68.4,3.4,21.2,21.2,98.1,63.2,7.7,22.8,7.9,7.9,0.0
0,14.6,33.3,0,30.1,6.1,21.2,39.4,25,0,0,0,61.1,0,73.3,0,88.2,30.3,65.5,3.4,21.2,11.0,95.8,91,8.3,8.9,6.9,9.1,0.0
10.8,18.9,38.2,7.1,32.5,6.5,14.7,58.8,11.1,0,0,0,48.8,0,60.2,0,57.7,44.1,68.1,3.4,11.9,11.0,100,76.5,7.4,13.4,7.3,0,0.0
3.6,14.5,24.1,0,33.7,7.6,20.7,51.7,0,0,0,0,50.5,2.1,77.1,0,86.3,48.3,46.1,2.5,13.6,15.3,100,75.8,0,16.8,8.7,0,0.0
7.5,20.3,20.7,0,26.2,5.2,57,62.8,22.2,0,0,0,46.5,2.1,77.2,0,91.7,47.1,82.5,8.5,46.6,22.0,95.9,13.3,11.1,27.5,4,0,4.2
10.6,8.5,33.4,0,42.5,12.5,36.4,54.5,0,0,0,0,62.1,3.2,73.7,0,77.3,45.5,39.3,3.4,18.6,11.9,95.6,54.6,0,16,7.8,6.1,0.0
0,9.3,43.8,10,32.6,9.2,15.6,53.1,31,0,0,0,51,0,84.8,0,81.1,28.1,55.0,0.0,20.3,17.8,100,62.5,20.7,14.3,8.5,0,0.0
6.8,18.2,27,11.8,36.1,16.1,27,27,7.4,0,0,0,71.1,0,91.1,0,84.7,35.1,57.7,9.3,16.9,21.2,89.7,64.8,18.5,14.8,7.2,8.1,0.0
4.3,13,28,5.3,40.3,8.1,24,44,16.7,0,0,0,50.8,11.1,93.7,0,86.7,44,39.3,0.0,16.1,11.0,100,72,11.1,15.9,9.9,8,0.0
5.2,10.3,23.4,7.8,37.8,16.7,36.7,40,7.7,0,0,0,79.8,2,85.9,0,88.4,46.7,52.4,6.8,15.3,17.8,97.7,86.8,0,34.3,7.7,6.7,0.0
0,21.2,38.4,5,31.4,8.6,19.2,38.5,0,0,0,0,35.8,2.5,74.1,0,84.7,30.8,58.7,3.4,15.3,16.1,91.9,73.1,35,20,9.5,7.7,0.0
0,13.6,42.3,7,34.8,14.9,23.1,61.5,20,0,0,0,59.2,0,90.1,0,92.6,38.5,59.2,0.0,11.0,9.3,100,65.4,35,12.7,7.2,0,0.0
5.3,26.3,14.1,0,34.3,6.6,45.3,48.4,20.3,0,0,0,33.9,0,83.5,0,90.5,42.2,87.8,9.3,41.5,16.9,94.6,35.9,39.1,32.8,5.4,4.7,0.0
4.5,15.8,30.3,3.1,26.8,12.1,46.1,55.9,20.9,0,0,0,41.5,7.8,81.1,0,93.5,34.3,91.7,7.6,47.5,25.4,96.6,57.8,29.9,15.8,3.8,6.9,4.2
5.6,16.7,36.7,0,33.1,8.8,30.6,38.8,13.2,0,0,0,41,6.5,83.3,0,76.3,36.7,59.2,7.6,27.1,16.1,94.8,73.5,36.8,11.6,7.5,12.2,0.0
6.2,21.5,39.6,0,38.3,6.1,25.6,46.5,15.6,0,0,0,54,0,80.2,0,88.8,34.9,66.6,7.6,28.0,16.9,90,55.9,17.8,18.3,7.1,0,0.0
10,12,20.8,0,22,10.9,31.3,54.2,22.5,0,0,0,34.3,5,65.7,0,84.5,22.9,77.3,1.7,28.0,15.3,98.4,62.6,20,4.3,6.9,0,0.0
4.7,18.8,26.8,8.8,41.5,17,34.1,39,11.4,0,0,0,42.9,2.5,76.5,0,90.7,29.3,78.6,6.8,16.9,20.3,94.8,68.3,14.3,14.4,6.7,0,0.0
5.3,10.7,40.4,5.5,47.2,17.6,48.9,53.2,20.6,0,0,0,19.2,4,82.4,0,92.6,34,78.6,7.6,22.0,17.8,98.2,68.1,26.5,9.5,5.5,0,0.0
6.7,17.3,12.7,11,47.3,17.1,63.6,47.3,27.9,0,1.3,0,15.4,5.4,78.4,5.4,93.8,36.4,83.9,5.1,29.7,16.9,100,54.5,33.8,17.4,4.3,3.6,0.0
10.9,15.2,24.4,4.7,40.2,11.8,46.3,41.5,23.7,0,0,0,19.8,7.8,52.6,4.3,88.8,20,81.2,5.1,28.8,11.0,100,82.9,31.6,12,6.3,0,4.2
3.8,17,31.9,0,27.6,9.2,57.4,53.2,16.7,0,0,0,14.1,14.1,63,0,95.2,27.7,93.0,7.6,22.0,11.0,96.7,85,31,10.8,4.2,4.3,0.0
8.7,7.2,19.7,6.2,27.7,15.2,55.7,59,24.1,0,0,0,8.2,24.6,63.4,0,92.8,21,86.5,4.2,32.2,10.2,98.8,80.3,34.5,9.1,4.8,3.3,0.0
7,16.3,22.2,5.9,39.3,9,42.2,44.4,25,0,0,0,28.9,14.9,60.3,0,91.1,18.2,78.6,4.2,32.2,12.7,97.4,75.5,25,9.2,5.8,11.1,0.0
9.1,18.2,19.5,8.2,44.1,12.7,43.5,39.1,22.4,0,0,0,21.3,9,52.5,1.6,89.9,21.7,82.5,5.9,28.8,11.9,97.2,73.9,26.5,21,5.4,8.7,0.0
0,14.7,60,6.1,41.7,21.1,45.5,83.6,23.1,0,0,0,23,6.8,41.9,0,94.3,7.3,95.7,1.7,12.7,11.0,100,96.4,15.4,8,3.6,18.2,4.2
6.1,12.1,24.3,4.1,37.5,7.5,35.1,43.2,26.3,0,0,0,19.1,13.8,40.9,5.4,90.4,24.3,78.6,3.4,20.3,8.5,98.1,86.4,21.1,12.9,6.6,0,0.0
9.5,16.7,27.5,2.4,26.1,5.2,36.2,58,29.2,0,0,0,19.7,3,45,2.3,90.0,17.4,89.1,7.6,31.4,9.3,96.5,15.9,12.5,17.8,4,4.3,0.0
11.6,11.6,40.5,0,28.4,7.4,35.1,43.2,20.7,0,0,0,34,0,58.8,0,90.0,27,78.6,1.7,22.0,11.0,100,75.6,24.1,11.3,6.2,0,0.0
3.3,15,38,2.9,33.6,7.8,36,40,23.1,0,0,0,27.7,7.7,73.6,0,90.0,26,76.0,1.7,26.3,11.9,100,70,38.5,18.1,6.1,6,0.0
5.7,20.5,35.9,2,39.2,7,48.4,51.6,27.9,0,0,0,42.4,8.2,81.1,0,90.9,26.6,66.8,6.8,28.8,23.7,100,67.2,42.6,16.5,6.3,6.3,4.2
5.2,10.3,25.5,0,40.6,10.4,66,40.4,7.9,0,0,0,41.7,3.5,75.4,0,93.2,40.4,59.2,4.2,24.6,18.6,98.4,70.2,47.4,28.1,5.4,8.5,0.0
6.8,24.2,14.9,1.7,19.7,5.5,43.3,63.8,21.3,0,0,0,48.1,2.6,81.5,0,88.8,38.6,87.8,11.9,56.8,20.3,99.4,19.7,33.8,41.4,4.5,3.1,4.2
5.4,10.8,59.1,0,34.1,9.5,40.9,79.5,31,0,0,0,45.2,3.7,73.3,0,95.2,33,95.0,11.0,22.9,17.8,91.5,89.7,31,17,3.8,8,0.0
9.4,15.3,32.8,2.2,30.6,6.7,28.6,55.7,26.5,0,0,0,48.8,1.2,73.5,4.3,89.8,27.1,82.5,7.6,25.4,19.5,93.1,32.9,20.6,18.5,5.3,8.6,4.2
4.8,21.4,27.6,4.7,34.3,14.8,22.4,46.6,20,0,0,0,57,3,84.1,0,87.7,34.5,81.2,5.9,26.3,22.0,95.8,41.3,14.3,12.4,6.2,3.4,4.2
13.2,15.1,24.9,3,29,4,96.2,59.6,25,0,0,0,21.7,3.5,63.2,0,93.3,38.5,84.2,10.2,28.0,9.3,97.2,96.2,37.5,18.4,3.5,3.8,0.0
0,8.3,38.4,0,42.3,9.6,42.3,53.8,35.3,0,0,0,49.1,0,64.9,0,88.8,34.6,65.3,5.1,11.0,11.9,85.2,69.2,23.5,10.5,7.3,11.5,0.0
9.6,17.3,21.9,8,36.6,9.8,37.5,56.3,0,0,0,0,67,2.3,92,0,89.2,25,58.7,3.4,16.1,13.6,100,56.3,16.7,11.2,7.5,9.4,0.0
6.6,18.4,37.8,6.1,48.6,9.9,31.1,48.9,25,0,0,0,55.6,2.2,84.4,0,87.7,37,72.1,7.6,14.4,22.9,95.6,59.9,10,14.2,6.6,6.7,0.0
20.8,12.5,41.3,4.9,35.6,6.8,6.9,37.9,13.3,0,0,0,59.1,0,76.1,0,80.3,26.7,52.4,0.0,11.0,13.6,100,72.4,20,9.2,8.5,13.8,0.0
6.7,11.1,23.1,6.4,31.4,4.2,15.4,46.2,21.7,0,0,0,51.1,0,84.1,0,89.2,34.6,52.4,1.7,14.4,11.9,94.4,73,13,0,8.5,0,0.0
5.6,20.4,25,6.7,29.8,8.3,16.7,63.9,36.4,0,0,0,62.8,3.2,72.3,0,77.9,38.9,28.3,1.7,17.8,12.7,98,75,9.1,5.3,9.4,0,0.0
5.6,11.1,43.4,0,31.3,7.4,23.3,53.3,26.3,0,0,0,46.9,0,66.3,0,83.1,43.3,52.4,4.2,11.0,10.2,100,90,0,17.5,8.5,0,0.0
13.7,27.5,29.6,0,29.6,11.2,38.6,50,16.1,0,0,0,50.4,4.3,68.4,0,85.1,50,57.7,2.5,22.0,13.6,98.2,79.6,9.7,7.6,6.9,0,0.0
12.3,18.9,28.2,2,32.9,8.2,55.4,68.5,12.2,0,0,0,44.8,3.6,67.4,0,93.4,45.7,87.8,10.2,38.1,28.0,96.8,82.5,28.6,14.1,4.3,7.6,0.0
7.5,14.9,31.3,0,30.8,7.5,58.8,54.9,14.8,0,0,0,33.1,0,71.8,0,90.0,27.5,68.9,3.4,24.6,17.8,100,70.5,29.6,23.7,5.1,3.9,4.2
6.5,13,31.2,2.9,24.5,5.9,80.3,65.6,27.1,0,0,0,15.1,1.9,45.8,0,94.2,31.1,90.4,11.0,25.4,7.6,93.1,91.9,25,16,3.5,6.6,0.0
10.5,12.3,39.3,3,32.2,15.5,32.1,50,28.6,0,0,0,28.6,0,54.8,1.6,89.0,33.3,72.1,1.7,26.3,18.6,100,62.5,14.3,16.7,6.1,3.6,0.0
7.8,17.2,25.7,3.1,27.8,6.5,20.5,33.3,13.3,0,0,0,37.6,0,62.9,0,79.5,38.5,65.5,4.2,32.2,16.9,95.5,69.3,23.3,6.5,7.5,5.1,0.0
0,30.8,17.5,0,23.5,6.8,15,52.5,22.7,0,0,0,36.2,6.3,55.6,0,67.8,25,64.2,4.2,27.1,10.2,98.7,72.5,11.4,11.2,8.1,0,8.3
7.5,9.4,30.4,0,33,7.5,32.6,52.2,13.6,0,0,0,45.2,0,59.6,0,85.7,41.3,65.3,2.5,14.4,18.6,97.8,58.7,9.1,21.4,6.8,4.3,0.0
7.5,24.5,30.3,6.1,34.1,9.3,92.1,64.5,33.3,0,0,0,18,4.3,46.4,0,92.6,32.9,84.2,9.3,29.7,18.6,95.4,86.9,27.1,18.8,3.4,3.9,0.0
3.1,20,34.9,3.1,28.3,5.3,47,66.7,23.7,0,0,0,34.1,0,56.2,0,91.1,37.9,85.8,5.9,25.4,16.9,95.1,89.4,7.9,10.9,4.4,6.1,4.2
8.9,22.2,51,0,34.1,9.1,61.7,68.1,25,0,0,0,25.3,3,48,0,91.7,37,59.2,5.1,15.3,15.3,95.2,89.4,15,10.1,5.1,6.4,0.0
4.8,16.1,52.3,3.5,31.5,6.5,43.1,66.2,12.5,0,0,0,25.5,1.8,50.5,0,93.8,39.4,93.0,5.9,22.0,11.0,98.1,92.3,15.6,18.2,4.2,6.2,0.0
9.7,17.7,56.6,0,34.3,7.9,68.3,70,16.1,0,0,0,25.7,2.8,46.3,0,92.8,33.3,94.7,5.1,16.9,13.6,97.8,91.6,32.3,11,4.1,8.3,0.0
9.6,17.8,41.8,0,24.4,7.3,74.6,61.2,22.2,0,0,0,24.8,0,60,0,93.7,34.3,89.1,7.6,33.1,19.5,98.7,85.2,19.4,17.1,3.8,4.5,0.0
3.8,10.1,46.7,0,27.2,6.3,64.8,72.4,18.9,0,0,0,30.7,2.4,46.1,0,94.0,42.9,91.7,2.5,28.8,31.4,100,88.5,21.6,19.5,3.6,4.8,0.0
5.9,15.7,38.7,0,23.9,5.7,59.7,72.6,25.7,0,0,0,27,3,53,0,95.2,35.5,94.3,1.7,22.9,11.9,100,96.8,28.6,15,3.4,8.1,4.2
9.8,14.6,42,3.5,21.8,7.8,20.9,41.9,16.1,0,0,0,35.8,4.2,51.7,0,73.4,30.2,52.4,4.2,21.2,15.3,100,88.4,6.5,19.2,8.7,7,0.0
0,27.8,38.1,0,26.4,5.7,19,38.1,11.1,0,0,0,20.3,0,45.3,0,77.9,23.8,65.3,1.7,14.4,5.1,100,85.7,16.7,20.3,8.6,0,0.0
8.4,27.1,23.8,0,26.7,7.3,42.1,61.9,24.5,0,0,0,43.5,1.2,72.2,0,94.9,42.1,91.7,6.8,44.1,33.9,97.2,16.7,14.3,30.2,3.9,0,0.0
12.8,15.4,16.7,3.9,29.3,7.4,55.6,61.1,33.3,0,0,0,37.6,0,53.2,0,84.9,27.8,65.3,4.2,18.6,13.6,95.8,91.6,21.2,15.1,6.4,11.1,4.2
10,16,43.4,0,20.9,5.2,22.4,55.3,25.7,0,0,0,21.6,0,34,0,91.9,25,90.9,5.1,30.5,18.6,97.2,98.6,17.1,14.3,5.1,17.1,4.2
11.1,13.3,31.4,0,27.5,5,37.1,51.4,6.5,0,0,0,54.6,0,69.4,0,85.7,40,59.2,0.0,16.9,11.0,100,62.8,6.5,9.5,6.9,8.6,4.2
5.1,25.6,36.4,0,33.9,8.9,18.2,45.5,20,0,0,0,59.4,0,81.3,0,89.4,31.8,54.5,2.5,8.5,15.3,95,63.6,20,6.3,7.5,0,0.0
13,27.8,6.1,0,27.5,8.8,39.4,57.6,34.8,0,0,0,64.4,0,75.2,0,88.7,41.2,52.4,3.4,18.6,10.2,93.6,66.7,13,9.9,7,0,0.0
10.6,10.6,12,0,33.8,14.1,36,36,46.2,0,0,0,45.6,0,65.8,0,83.9,44,59.2,2.5,10.2,17.8,93.5,76,0,22.8,7.8,0,0.0
7.4,22.1,26.4,5.5,41.8,13.2,21.1,47.4,25,0,0,0,60.6,0,81.8,0,90.2,43.2,52.4,5.9,13.6,19.5,97.5,65.8,25,16.2,7.1,0,0.0
8.5,17,28.3,3,28.2,5.5,28.3,37.7,11.4,0,0,0,14.6,0,28.7,0,56.9,26.9,78.6,2.5,24.6,11.0,98.6,69.8,22.7,15.6,5.7,7.5,0.0
0,10.5,28.6,6.8,29.2,17.8,23.2,58.9,26.9,0,0,0,10.8,5,25.8,0,82.7,25,85.0,6.8,20.3,15.3,96.5,80.4,7.7,11,5.3,7.1,0.0
0,11.1,28.6,0,25,3.9,34.3,48.6,34.5,0,0,0,9.9,0,25.3,0,82.9,31.4,65.5,1.7,20.3,9.3,100,68.6,34.5,24.4,6.4,5.7,0.0
0,9.1,15.3,2.9,25.8,5.2,81.4,59.3,20.5,0,0,0,10.9,3,26.5,0,91.9,29.3,78.6,5.1,33.9,7.6,100,91.5,25,25,4.1,13.6,8.3
5.4,18.9,24.1,0,32.4,3.9,61.1,53.7,31.4,0,0,0,14.4,1.8,30.6,0,92.0,34,72.1,11.0,29.7,9.3,100,81.4,20,26.6,5.2,7.4,0.0
18.2,6.1,28.3,3.4,22.8,7,47.8,50,10.5,0,0,0,7.4,2.8,22.4,0,89.7,25.5,74.7,5.1,26.3,11.0,100,80.4,23.7,7.4,5.5,10.9,0.0
17.9,10.7,23.1,3.3,29.1,5.9,41,46.2,11.1,0,0,0,18.8,0,28.7,0,86.5,25.6,74.7,5.1,28.0,10.2,93.8,87.2,19.4,18,6.1,5.1,0.0
6.9,10.3,27.9,0,19.3,4.5,30.2,44.2,25.8,0,0,0,14.7,0,38.9,0,86.3,23.3,72.1,5.1,24.6,9.3,98.3,69.9,12.9,11.3,6.4,9.3,0.0
30,20,26.5,4.6,35.3,13.4,32.7,44.9,28.6,0,0,0,17.3,7.5,29.3,0,79.7,18.4,66.6,7.6,22.0,17.8,97.1,71.5,28.6,12.8,6.6,6.1,0.0
9.5,14.3,21.8,0,25.3,8.2,61.8,61.8,26.7,0,0,0,8.6,4.3,27.6,0,89.4,25.9,68.4,6.8,28.8,10.2,97.2,56.4,16.7,17.4,4.9,0,0.0
11.1,8.9,25.5,0,30.8,7.7,37.3,41.2,38.7,0,0,0,14.6,0,30.1,0,89.5,24,78.6,7.6,19.5,8.5,93.1,82.4,16.1,18.7,5.5,7.8,0.0
